product_id,product_name,category,price,rating,availability,number_of_reviews,product_url,scrape_date
1,A Light in the Attic,Books,51.77,Three,In stock,,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,2025-12-18
2,Tipping the Velvet,Books,53.74,One,In stock,,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,2025-12-18
3,Soumission,Books,50.1,One,In stock,,https://books.toscrape.com/catalogue/soumission_998/index.html,2025-12-18
4,Sharp Objects,Books,47.82,Four,In stock,,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,2025-12-18
5,Sapiens: A Brief History of Humankind,Books,54.23,Five,In stock,,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,2025-12-18
6,The Requiem Red,Books,22.65,One,In stock,,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,2025-12-18
7,The Dirty Little Secrets of Getting Your Dream Job,Books,33.34,Four,In stock,,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2025-12-18
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Books,17.93,Three,In stock,,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2025-12-18
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Books,22.6,Four,In stock,,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2025-12-18
10,The Black Maria,Books,52.15,One,In stock,,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,2025-12-18
11,"Starving Hearts (Triangular Trade Trilogy, #1)",Books,13.99,Two,In stock,,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,2025-12-18
12,Shakespeare's Sonnets,Books,20.66,Four,In stock,,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,2025-12-18
13,Set Me Free,Books,17.46,Five,In stock,,https://books.toscrape.com/catalogue/set-me-free_988/index.html,2025-12-18
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Books,52.29,Five,In stock,,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,2025-12-18
15,Rip it Up and Start Again,Books,35.02,Five,In stock,,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,2025-12-18
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Books,57.25,Three,In stock,,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,2025-12-18
17,Olio,Books,23.88,One,In stock,,https://books.toscrape.com/catalogue/olio_984/index.html,2025-12-18
